"eventDate","year","month","day","decimalLatitude","decimalLongitude","stateProvince","order","scientificName","vernacularName","individualCount"
"2002-09-19",2002,9,19,-36.2627,144.2635,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-19",2002,9,19,-36.2692,144.2711,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-12-05",2002,12,5,-36.2605,144.2458,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-17",2002,1,17,-38.0744,145.7876,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-01-18",2002,1,18,-38.0744,145.7876,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-16",2002,4,16,-38.0744,145.7876,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-01-18",2002,1,18,-38.0602,145.8117,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-16",2002,4,16,-38.0602,145.8117,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-04-17",2002,4,17,-38.0602,145.8117,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-18",2002,1,18,-38.054,145.824,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-17",2002,4,17,-38.054,145.824,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-02-28",2002,2,28,-37.798,145.648,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-03-01",2002,3,1,-37.7805,145.6209,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-03-01",2002,3,1,-37.7767,145.6051,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-08",2002,4,8,-37.7383,145.1655,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2002-09-23",2002,9,23,-37.7383,145.1655,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-09-24",2002,9,24,-37.7383,145.1655,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-10-20",2002,10,20,-37.7383,145.1655,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-10-21",2002,10,21,-37.7383,145.1655,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-09-23",2002,9,23,-37.7638,145.1842,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-08",2002,4,8,-37.7502,145.1777,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-08",2002,4,8,-37.7492,145.1754,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",3
"2002-04-05",2002,4,5,-36.9963,142.3179,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-05",2002,4,5,-37.0839,142.3757,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-04-04",2002,4,4,-37.0911,142.3848,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-05",2002,4,5,-37.0911,142.3848,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-04-04",2002,4,4,-37.0498,142.3694,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-04-05",2002,4,5,-37.0498,142.3694,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
